Mutated_genes,Structural_variants_genes,CNA_genes,DEG_posi,DEG_nega,DEG,Epi_modiffications,All
Prot_A0A0C4DG40,NA,NA,Prot_Q8IX90,Prot_Q99435,Prot_Q8IX90,Prot_A0A0C4DG40,Prot_A0A0C4DG40
Prot_Q685J3,NA,NA,Prot_Q9H9K5,Prot_A0A024R0X1,Prot_Q9H9K5,Prot_Q685J3,Prot_Q685J3
NA,NA,NA,Prot_O43921,Prot_O60242,Prot_O43921,Prot_P29508,Prot_P29508
NA,NA,NA,Prot_P22466,Prot_P04629,Prot_P22466,Prot_O15393,Prot_O15393
NA,NA,NA,Prot_Q6UXY8,Prot_X5DR71,Prot_Q6UXY8,Prot_B4DN83,Prot_B4DN83
NA,NA,NA,Prot_B7Z946,Prot_P13671,Prot_B7Z946,Prot_P11308,Prot_P11308
NA,NA,NA,Prot_B7Z5K3,Prot_Q9NTI7,Prot_B7Z5K3,Prot_A0A0C4DG41,Prot_A0A0C4DG41
NA,NA,NA,Prot_F5GYU8,Prot_A0A1W2PL72,Prot_F5GYU8,Prot_B4DVX5,Prot_B4DVX5
NA,NA,NA,Prot_F1T0H7,Prot_Q9HB89,Prot_F1T0H7,Prot_B5MDW0,Prot_B5MDW0
NA,NA,NA,Prot_Q99819,Prot_A4FU01,Prot_Q99819,Prot_A0A024R3C6,Prot_A0A024R3C6
NA,NA,NA,Prot_A0A024RBN3,Prot_B4DF84,Prot_A0A024RBN3,Prot_Q05516,Prot_Q05516
NA,NA,NA,Prot_Q5U5X8,Prot_Q8IYK4,Prot_Q5U5X8,Prot_P50549,Prot_P50549
NA,NA,NA,Prot_Q9H161,Prot_B3KT92,Prot_Q9H161,Prot_B7Z2C9,Prot_B7Z2C9
NA,NA,NA,Prot_Q8WXD9,Prot_Q7Z5A9,Prot_Q8WXD9,Prot_B5MCT2,Prot_B5MCT2
NA,NA,NA,Prot_Q96H22,Prot_P10911,Prot_Q96H22,Prot_Q96JT2,Prot_Q96JT2
NA,NA,NA,Prot_Q6SJ93,Prot_B2R9S6,Prot_Q6SJ93,Prot_P43268,Prot_P43268
NA,NA,NA,Prot_Q12815,Prot_Q6UWX4,Prot_Q12815,Prot_Q9UIK5,Prot_Q9UIK5
NA,NA,NA,Prot_F8W130,Prot_A6NGB7,Prot_F8W130,Prot_Q9UKJ3,Prot_Q9UKJ3
NA,NA,NA,Prot_A0A024R9E4,Prot_A0A0S2Z3W6,Prot_A0A024R9E4,Prot_A0A024R2A4,Prot_A0A024R2A4
NA,NA,NA,Prot_Q969L2,Prot_P50993,Prot_Q969L2,Prot_Q96PU5,Prot_Q96PU5
NA,NA,NA,Prot_P49454,Prot_A0A024R0B1,Prot_P49454,Prot_B7Z6K0,Prot_B7Z6K0
NA,NA,NA,Prot_Q8N9F7,Prot_P58294,Prot_Q8N9F7,Prot_A0A024R281,Prot_A0A024R281
NA,NA,NA,Prot_P30307,Prot_P25025,Prot_P30307,Prot_B7Z2P9,Prot_B7Z2P9
NA,NA,NA,Prot_B4DX61,Prot_Q53PC4,Prot_B4DX61,Prot_A0A0S2Z4R1,Prot_A0A0S2Z4R1
NA,NA,NA,Prot_Q96GV9,Prot_Q8N6C5,Prot_Q96GV9,Prot_P54577,Prot_P54577
